batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,0,0.7,6.35,0.0,1.0,15.3972,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,361,28,0,[],175,295,../data/tables,1564420667,MNIST,1390000.0,30.53,0
128,1,0.7,6.35,0.0,1.0,14.7832,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,371,35,0,[],258,428,../data/tables,1564425051,MNIST,1390000.0,30.53,0
128,2,0.7,6.35,0.0,1.0,14.8152,0,172.16.50.163,,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,352,66,5,[],109,26,../data/tables,1564442153,MNIST,1390000.0,30.53,0
128,3,0.7,6.35,0.0,1.0,14.7815,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,91,85,3,[],466,73,../data/tables,1564424330,MNIST,1390000.0,30.53,0
128,4,0.7,6.35,0.0,1.0,14.7922,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,1,1,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,287,51,1,[],330,155,../data/tables,1564420710,MNIST,1390000.0,30.53,0
128,5,0.7,6.35,0.0,1.0,14.8229,0,172.16.50.163,,2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,261,124,4,[],12,92,../data/tables,1564436005,MNIST,1390000.0,30.53,0
128,6,0.7,6.35,0.0,1.0,15.556,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,511,108,1,[],278,402,../data/tables,1564429511,MNIST,1390000.0,30.53,0
128,7,0.7,6.35,0.0,1.0,15.8199,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,1,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,113,69,2,[],321,280,../data/tables,1564429189,MNIST,1390000.0,30.53,0
128,8,0.7,6.35,0.0,1.0,16.1794,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,15,64,0,[],334,486,../data/tables,1564433023,MNIST,1390000.0,30.53,0
128,9,0.7,6.35,0.0,1.0,14.763,0,172.16.50.163,,2,0,../data/logs,../data/models,0.05,1,2,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,510,76,2,[],146,328,../data/tables,1564426484,MNIST,1390000.0,30.53,0
128,10,0.7,6.35,0.0,1.0,14.6702,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,1,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,499,65,1,[],497,5,../data/tables,1564441045,MNIST,1390000.0,30.53,0
128,11,0.7,6.35,0.0,1.0,14.7988,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,1,2,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,253,31,3,[],381,62,../data/tables,1564425792,MNIST,1390000.0,30.53,0
128,12,0.7,6.35,0.0,1.0,13.3583,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,1,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,174,41,0,[],493,340,../data/tables,1564441108,MNIST,1390000.0,30.53,0
128,13,0.7,6.35,0.0,1.0,14.815,0,172.16.50.163,,2,0,../data/logs,../data/models,0.05,1,2,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,385,46,3,[],12,380,../data/tables,1564426042,MNIST,1390000.0,30.53,0
128,14,0.7,6.35,0.0,1.0,14.924,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,1,1,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,173,78,5,[],486,142,../data/tables,1564448227,MNIST,1390000.0,30.53,0
128,15,0.7,6.35,0.0,1.0,14.8076,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,2,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,421,23,3,[],44,458,../data/tables,1564444611,MNIST,1390000.0,30.53,0
128,16,0.7,6.35,0.0,1.0,14.8087,0,172.16.50.163,,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,142,101,5,[],301,140,../data/tables,1564430682,MNIST,1390000.0,30.53,0
128,17,0.7,6.35,0.0,1.0,14.8068,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,368,40,4,[],348,335,../data/tables,1564434060,MNIST,1390000.0,30.53,0
128,18,0.7,6.35,0.0,1.0,15.2096,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,1,2,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,484,116,1,[],346,460,../data/tables,1564451105,MNIST,1390000.0,30.53,0
128,19,0.7,6.35,0.0,1.0,14.8693,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,265,16,4,[],313,121,../data/tables,1564439632,MNIST,1390000.0,30.53,0
128,20,0.7,6.35,0.0,1.0,14.798,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,1,3,25,50,1,adam,10,100,0.0,0,deleteme_1564420001,155,73,2,[],261,51,../data/tables,1564440477,MNIST,1390000.0,30.53,0
128,21,0.7,6.35,0.0,1.0,14.7418,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,434,93,4,[],423,24,../data/tables,1564426521,MNIST,1390000.0,30.53,0
128,22,0.7,6.35,0.0,1.0,14.8097,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,3,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,134,71,0,[],235,252,../data/tables,1564444441,MNIST,1390000.0,30.53,0
128,23,0.7,6.35,0.0,1.0,18.26,0,172.16.50.181,,2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564420001,394,66,2,[],87,436,../data/tables,1564431370,MNIST,1390000.0,30.53,0
128,24,0.7,6.35,0.0,1.0,16.724,0,172.16.50.177,,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564420001,33,46,3,[],432,310,../data/tables,1564438709,MNIST,1390000.0,30.53,0
